Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2023/24,25.6
Drug-taking students,Shopping / wander on streets,Upper Primary,2023/24,23.2
Drug-taking students,Chat / play with family,Upper Primary,2023/24,36.4
Drug-taking students,Read books,Upper Primary,2023/24,19
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2023/24,8.5
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2023/24,26.2
Drug-taking students,Play in friends’ and relatives’ home,Upper Primary,2023/24,19.6
Drug-taking students,Read comics,Upper Primary,2023/24,20
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2023/24,11.7
Drug-taking students,Go to cyber cafes / electronic games centres,Upper Primary,2023/24,19
Drug-taking students,Participate in voluntary work,Upper Primary,2023/24,4.5
Drug-taking students,Participate in church / religious activities,Upper Primary,2023/24,8.2
Drug-taking students,Others,Upper Primary,2023/24,9
Non-drug-taking students,Chat with friends,Upper Primary,2023/24,64.2
Non-drug-taking students,Play electronic games at home ,Upper Primary,2023/24,68.8
Non-drug-taking students,Surf the Internet,Upper Primary,2023/24,45.7
Non-drug-taking students,Watch TV / listen to the radio or music,Upper Primary,2023/24,59.7
Non-drug-taking students,Hang around at home / sleep ,Upper Primary,2023/24,34.2
Non-drug-taking students,Chat / play with family,Upper Primary,2023/24,51.2
Non-drug-taking students,Watch movies,Upper Primary,2023/24,28.6
Non-drug-taking students,Shopping / wander on streets,Upper Primary,2023/24,32
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2023/24,37.2
Non-drug-taking students,Read books,Upper Primary,2023/24,37.2
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2023/24,39.3
Non-drug-taking students,Read comics,Upper Primary,2023/24,32.1
Non-drug-taking students,Play in friends’ and relatives’ home,Upper Primary,2023/24,23.4
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2023/24,20.4
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2023/24,2.8
Non-drug-taking students,Participate in voluntary work,Upper Primary,2023/24,6.2
Non-drug-taking students,Participate in church / religious activities,Upper Primary,2023/24,7.3
Non-drug-taking students,Go to cyber cafes / electronic games centres,Upper Primary,2023/24,5
Non-drug-taking students,Others,Upper Primary,2023/24,4
All students,Chat with friends,Secondary,2020/21,71.2
All students,Play electronic games at home ,Secondary,2020/21,66.5
All students,Surf the Internet,Secondary,2020/21,58.4
All students,Watch TV / listen to the radio or music,Secondary,2020/21,53.8
All students,Hang around at home / sleep ,Secondary,2020/21,53.2
All students,Chat / play with family,Secondary,2020/21,36.5
All students,Watch movies,Secondary,2020/21,40.7
All students,Shopping / wander on streets,Secondary,2020/21,32.6
All students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2020/21,33.7
All students,Read books,Secondary,2020/21,31.2
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2020/21,27.5
All students,Read comics,Secondary,2020/21,25.6
All students,Play in friends’ and relatives’ home,Secondary,2020/21,17.1
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2020/21,11.5
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2020/21,6.8
All students,Participate in voluntary work,Secondary,2020/21,4.7
All students,Participate in church / religious activities,Secondary,2020/21,6.1
All students,Go to cyber cafes / electronic games centres,Secondary,2020/21,3.3
All students,Others,Secondary,2020/21,2.7
Drug-taking students,Chat with friends,Secondary,2020/21,65.3
Drug-taking students,Play electronic games at home ,Secondary,2020/21,56.9
Drug-taking students,Watch movies,Secondary,2020/21,41.8
Drug-taking students,Hang around at home / sleep ,Secondary,2020/21,48.1
Drug-taking students,Surf the Internet,Secondary,2020/21,45.2
Drug-taking students,Watch TV / listen to the radio or music,Secondary,2020/21,47
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2020/21,39.4
Drug-taking students,Shopping / wander on streets,Secondary,2020/21,38.1
Drug-taking students,Chat / play with family,Secondary,2020/21,30.9
Drug-taking students,Read books,Secondary,2020/21,18.9
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2020/21,21.5
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2020/21,20.9
Drug-taking students,Play in friends’ and relatives’ home,Secondary,2020/21,21
Drug-taking students,Read comics,Secondary,2020/21,15.8
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2020/21,10.4
Drug-taking students,Go to cyber cafes / electronic games centres,Secondary,2020/21,11.6
Drug-taking students,Participate in voluntary work,Secondary,2020/21,7.9
Drug-taking students,Participate in church / religious activities,Secondary,2020/21,8.2
Drug-taking students,Others,Secondary,2020/21,7.8
Non-drug-taking students,Chat with friends,Secondary,2020/21,71.3
Non-drug-taking students,Play electronic games at home ,Secondary,2020/21,66.7
Non-drug-taking students,Surf the Internet,Secondary,2020/21,58.7
Non-drug-taking students,Watch TV / listen to the radio or music,Secondary,2020/21,54
Non-drug-taking students,Hang around at home / sleep ,Secondary,2020/21,53.3
Non-drug-taking students,Chat / play with family,Secondary,2020/21,36.7
Non-drug-taking students,Watch movies,Secondary,2020/21,40.6
Non-drug-taking students,Shopping / wander on streets,Secondary,2020/21,32.4
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2020/21,33.5
Non-drug-taking students,Read books,Secondary,2020/21,31.5
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2020/21,27.6
Non-drug-taking students,Read comics,Secondary,2020/21,25.8
Non-drug-taking students,Play in friends’ and relatives’ home,Secondary,2020/21,17
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2020/21,11.5
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2020/21,6.4
Non-drug-taking students,Participate in voluntary work,Secondary,2020/21,4.6
Non-drug-taking students,Participate in church / religious activities,Secondary,2020/21,6
Non-drug-taking students,Go to cyber cafes / electronic games centres,Secondary,2020/21,3.1
Non-drug-taking students,Others,Secondary,2020/21,2.6
All students,Chat with friends,Secondary,2023/24,69.9
All students,Play electronic games at home ,Secondary,2023/24,64.6
All students,Surf the Internet,Secondary,2023/24,53.6
All students,Watch TV / listen to the radio or music,Secondary,2023/24,51
All students,Hang around at home / sleep ,Secondary,2023/24,55.6
All students,Chat / play with family,Secondary,2023/24,38.4
All students,Watch movies,Secondary,2023/24,39.1
All students,Shopping / wander on streets,Secondary,2023/24,34.8
All students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2023/24,36.3
All students,Read books,Secondary,2023/24,27.4
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2023/24,27.5
All students,Read comics,Secondary,2023/24,21.2
All students,Play in friends’ and relatives’ home,Secondary,2023/24,17.5
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2023/24,14.6
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2023/24,7.8
All students,Participate in voluntary work,Secondary,2023/24,6
All students,Participate in church / religious activities,Secondary,2023/24,5.1
All students,Go to cyber cafes / electronic games centres,Secondary,2023/24,2.3
All students,Others,Secondary,2023/24,2.7
Drug-taking students,Chat with friends,Secondary,2023/24,63.1
Drug-taking students,Play electronic games at home ,Secondary,2023/24,54.7
Drug-taking students,Watch movies,Secondary,2023/24,41.2
Drug-taking students,Hang around at home / sleep ,Secondary,2023/24,41.5
Drug-taking students,Surf the Internet,Secondary,2023/24,39.5
Drug-taking students,Watch TV / listen to the radio or music,Secondary,2023/24,40
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2023/24,37.6
Drug-taking students,Shopping / wander on streets,Secondary,2023/24,39
Drug-taking students,Chat / play with family,Secondary,2023/24,31.1
Drug-taking students,Read books,Secondary,2023/24,21.1
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2023/24,18
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2023/24,22
Drug-taking students,Play in friends’ and relatives’ home,Secondary,2023/24,20.9
Drug-taking students,Read comics,Secondary,2023/24,15.9
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2023/24,9.4
